conta_src	conta_dst	conta_pc	comment	extraction_plate
#39D121	#39D61	2.4	NA	P2
#47M	#47D33	0.8	NA	P2
#57M	#57D8	20	NA	P2
#57D122	#41D87	3.4	NA	P2
#58M	#58D7	100	NA	P3
#58D256	#58D28	1	NA	P3
#58D256	#63D9	20	NA	P3
#58D256	#60D38	2	NA	P3
#60D38	#58D28	35	NA	P3
#60D38	#63D9	20	NA	P3
#60D144	#60D13	1.5	NA	P3
#63D250	#63D9	90	NA	P3
#72M	NC3	2	NA	P3
#82D243	#72D17	0.8	NA	P3
#83D239	NC3	20	NA	P3
#98M	#98D11	0.8	NA	P4
#98M	#98D23	1	NA	P4
#98M	#98D234	0.8	NA	P4
#98D4	#98D7	0.6	NA	P4
#98D4	#98D11	1	NA	P4
#101M	#101D248	10	NA	P4
#102M	#98D4	25	NA	P4
#102M	#108D28	0.5	NA	P4
#105M	#101D367	3	NA	P4
#105M	#98D47	1	NA	P4
#106M	#98D234	0.2	NA	P4
#106M	#106D8	0.5	NA	P4
#121D24	#128D37	50	NA	P4
#121D363	#114D237	7	NA	P4
#122M	#122D31	25	NA	P4
#122M	#114D25	0.4	NA	P4
#128D124	NC4	10	NA	P4
#102M	#101D22	0.1	very weak	P4
#82D361	NC3	10	NA	P3
